time,z_mid,alpha_m-1
1.9,9.037539,-1.870465e-02
1.9,9.512544,-1.059485e-02
2,0.487456,-1.190541e-01
2,0.962461,-1.638928e-01
2,1.437465,-1.138898e-01
2,1.912470,-1.021548e-01
2,2.387475,-6.999089e-02
2,2.862479,-6.574223e-02
2,3.337484,-5.599715e-02
2,3.812489,-5.187486e-02
2,4.287493,-4.273401e-02
2,4.762498,-4.103827e-02
2,5.237502,-3.663021e-02
2,5.712507,-3.420854e-02
2,6.187512,-2.968898e-02
2,6.662516,-2.795977e-02
2,7.137521,-2.804518e-02
2,7.612525,-2.655712e-02
2,8.087530,-2.504503e-02
2,8.562535,-2.341808e-02
2,9.037539,-1.886317e-02
2,9.512544,-1.102230e-02
2.1,0.487456,-1.130604e-01
2.1,0.962461,-1.610514e-01
2.1,1.437465,-1.074620e-01
2.1,1.912470,-9.454110e-02
2.1,2.387475,-6.393054e-02
2.1,2.862479,-6.084813e-02
2.1,3.337484,-5.139020e-02
2.1,3.812489,-4.689773e-02
2.1,4.287493,-4.029771e-02
2.1,4.762498,-3.911496e-02
2.1,5.237502,-3.525082e-02
2.1,5.712507,-3.399865e-02
2.1,6.187512,-2.947787e-02
2.1,6.662516,-2.775204e-02
2.1,7.137521,-2.733582e-02
2.1,7.612525,-2.540879e-02
2.1,8.087530,-2.369236e-02
2.1,8.562535,-2.284608e-02
2.1,9.037539,-1.881524e-02
2.1,9.512544,-1.138070e-02
2.2,0.487456,-1.045284e-01
2.2,0.962461,-1.581877e-01
2.2,1.437465,-9.888622e-02
2.2,1.912470,-8.675084e-02
2.2,2.387475,-5.923102e-02
2.2,2.862479,-5.751613e-02
2.2,3.337484,-4.699284e-02
2.2,3.812489,-4.218387e-02
2.2,4.287493,-3.745378e-02
2.2,4.762498,-3.691428e-02
2.2,5.237502,-3.266132e-02
2.2,5.712507,-3.228006e-02
2.2,6.187512,-2.820038e-02
2.2,6.662516,-2.705846e-02
2.2,7.137521,-2.663921e-02
2.2,7.612525,-2.450922e-02
2.2,8.087530,-2.265044e-02
2.2,8.562535,-2.222536e-02
2.2,9.037539,-1.874755e-02
2.2,9.512544,-1.172422e-02
2.3,0.487456,-9.791094e-02
2.3,0.962461,-1.529640e-01
2.3,1.437465,-9.147381e-02
2.3,1.912470,-8.015870e-02
2.3,2.387475,-5.241960e-02
2.3,2.862479,-5.335834e-02
2.3,3.337484,-4.150046e-02
2.3,3.812489,-3.740532e-02
2.3,4.287493,-3.345267e-02
2.3,4.762498,-3.399544e-02
2.3,5.237502,-2.912927e-02
2.3,5.712507,-2.882725e-02
2.3,6.187512,-2.543290e-02
2.3,6.662516,-2.482704e-02
2.3,7.137521,-2.505225e-02
2.3,7.612525,-2.280859e-02
2.3,8.087530,-2.123987e-02
2.3,8.562535,-2.121605e-02
2.3,9.037539,-1.860038e-02
2.3,9.512544,-1.219803e-02
2.4,0.487456,-9.818398e-02
2.4,0.962461,-1.538660e-01
2.4,1.437465,-9.160259e-02
2.4,1.912470,-8.020923e-02
2.4,2.387475,-4.874206e-02
2.4,2.862479,-5.120965e-02
2.4,3.337484,-3.756378e-02
2.4,3.812489,-3.416540e-02
2.4,4.287493,-3.040237e-02
2.4,4.762498,-3.201366e-02
2.4,5.237502,-2.633184e-02
2.4,5.712507,-2.594383e-02
2.4,6.187512,-2.322337e-02
2.4,6.662516,-2.289858e-02
2.4,7.137521,-2.391660e-02
2.4,7.612525,-2.160031e-02
2.4,8.087530,-2.044641e-02
2.4,8.562535,-2.061297e-02
2.4,9.037539,-1.853593e-02
2.4,9.512544,-1.243156e-02
2.5,0.487456,-1.063397e-01
2.5,0.962461,-1.589069e-01
2.5,1.437465,-9.975232e-02
2.5,1.912470,-8.855082e-02
2.5,2.387475,-4.825689e-02
2.5,2.862479,-4.996019e-02
2.5,3.337484,-3.573942e-02
2.5,3.812489,-3.284724e-02
2.5,4.287493,-2.813291e-02
2.5,4.762498,-3.037202e-02
2.5,5.237502,-2.393480e-02
2.5,5.712507,-2.343486e-02
2.5,6.187512,-2.101257e-02
2.5,6.662516,-2.089281e-02
2.5,7.137521,-2.268272e-02
2.5,7.612525,-2.030043e-02
2.5,8.087530,-1.970788e-02
2.5,8.562535,-2.004147e-02
2.5,9.037539,-1.829808e-02
2.5,9.512544,-1.267263e-02
2.6,0.487456,-1.170496e-01
2.6,0.962461,-1.661171e-01
2.6,1.437465,-1.104972e-01
2.6,1.912470,-9.922106e-02
2.6,2.387475,-5.055953e-02
2.6,2.862479,-4.971313e-02
2.6,3.337484,-3.531223e-02
2.6,3.812489,-3.232863e-02
2.6,4.287493,-2.679490e-02
2.6,4.762498,-2.909833e-02
2.6,5.237502,-2.230671e-02
2.6,5.712507,-2.172278e-02
2.6,6.187512,-1.935162e-02
2.6,6.662516,-1.933572e-02
2.6,7.137521,-2.152510e-02
2.6,7.612525,-1.938565e-02
2.6,8.087530,-1.914788e-02
2.6,8.562535,-1.959021e-02
2.6,9.037539,-1.819220e-02
2.6,9.512544,-1.287836e-02
2.7,0.487456,-1.249413e-01
2.7,0.962461,-1.713354e-01
2.7,1.437465,-1.184521e-01
2.7,1.912470,-1.070864e-01
2.7,2.387475,-5.488961e-02
2.7,2.862479,-4.896065e-02
2.7,3.337484,-3.484650e-02
2.7,3.812489,-3.114458e-02
2.7,4.287493,-2.526562e-02
2.7,4.762498,-2.705744e-02
2.7,5.237502,-2.040617e-02
2.7,5.712507,-1.972783e-02
2.7,6.187512,-1.740763e-02
2.7,6.662516,-1.736032e-02
2.7,7.137521,-1.997393e-02
2.7,7.612525,-1.799735e-02
2.7,8.087530,-1.831364e-02
2.7,8.562535,-1.899060e-02
2.7,9.037539,-1.782238e-02
2.7,9.512544,-1.299969e-02
2.8,0.487456,-1.320183e-01
2.8,0.962461,-1.775977e-01
2.8,1.437465,-1.259858e-01
2.8,1.912470,-1.148658e-01
2.8,2.387475,-6.174886e-02
2.8,2.862479,-5.046525e-02
2.8,3.337484,-3.681591e-02
2.8,3.812489,-3.186466e-02
2.8,4.287493,-2.484784e-02
2.8,4.762498,-2.580906e-02
2.8,5.237502,-1.945053e-02
2.8,5.712507,-1.888424e-02
2.8,6.187512,-1.633302e-02
2.8,6.662516,-1.619989e-02
2.8,7.137521,-1.884150e-02
2.8,7.612525,-1.697682e-02
2.8,8.087530,-1.757832e-02
2.8,8.562535,-1.842464e-02
2.8,9.037539,-1.758659e-02
2.8,9.512544,-1.313169e-02
2.9,0.487456,-1.360940e-01
2.9,0.962461,-1.824283e-01
2.9,1.437465,-1.308731e-01
2.9,1.912470,-1.207761e-01
2.9,2.387475,-6.946363e-02
2.9,2.862479,-5.433633e-02
2.9,3.337484,-4.111944e-02
2.9,3.812489,-3.515422e-02
2.9,4.287493,-2.615222e-02
2.9,4.762498,-2.561182e-02
2.9,5.237502,-1.942201e-02
